Model Component,Variable,Parm,Posterior Mean,95% LCrI,95% UCrI
Binary,SVI,gamma1,0.14,-0.24,0.52
,% of adult smokers,gamma2,-0.61,-1.12,-0.11
,No. of physicians per 100K,gamma3,0.07,-0.14,0.27
,% fair or poor health,gamma4,0.33,-0.26,0.97
,CVD Hospitalizations,gamma5,0.23,0.02,0.46
,Population density,gamma6,0.12,-0.09,0.34
,PM2.5,gamma7,-0.01,-0.17,0.15
,Temperature,gamma8,-3.76,-4.6,-2.96
,Precipitation,gamma9,-0.49,-0.71,-0.26
,,,NA,NA,NA
Mean,SVI,beta1,0.11,0.02,0.2
,% of adult smokers,beta2,0.29,0.16,0.41
,No. of physicians per 100K,beta3,0.03,-0.03,0.09
,% fair or poor health,beta4,-0.14,-0.22,-0.03
,CVD Hospitalizations,beta5,-0.02,-0.07,0.04
,Population density,beta6,-0.07,-0.13,-0
,PM2.5,beta7,-0,-0.05,0.04
,Temperature,beta8,-0.19,-0.23,-0.15
,Precipitation,beta9,0.03,0.01,0.06
,Dispersion,r,1.57,1.41,1.75
,,,NA,NA,NA
Random Effects,var_phi1i,Sigma11,2.02,0.83,3.77
,cov_phi1i_phi2i,Sigma12,0.28,0.08,0.51
,var_phi2i,Sigma22,0.2,0.14,0.28
